CÓD. DEP.;DEPARTAMENTO;CÓD. MUN.;MUNICIPIO;CULTIVO;PERIODO;Área Sembrada(ha);Área Cosechada(ha);Producción(t);Rendimiento(t/ha)
68;SANTANDER;68397;LA PAZ;CAFE;2017;35;31;39;1,3 
25;CUNDINAMARCA;25489;NIMAIMA;CAFE;2016;34;32;31;0,1 
5;ANTIOQUIA;5674;SAN VICENTE;CAFE;2016;34;31;32;1,1 
5;ANTIOQUIA;5360;ARCABUCO;CAFE;2017;33;28;41;1,5 
5;ANTIOQUIA;5360;ARCABUCO;CAFE;2016;33;27;32;1,2 
25;CUNDINAMARCA;25489;NIMAIMA;CAFE;2017;33;30;40;1,3 
25;CUNDINAMARCA;25281;FOSCA;CAFE;2018;33;30;39;1,3 
5;ANTIOQUIA;5440;MARINILLA;CAFE;2018;33;26;23;0,9 
68;SANTANDER;68397;LA PAZ;CAFE;2016;33;31;31;0,1 
68;SANTANDER;68684;SAN JOSE DE MIRANDA;CAFE;2017;32;29;30;0,1 
68;SANTANDER;68684;SAN JOSE DE MIRANDA;CAFE;2018;32;30;32;1,1 
15;BOYACA;15518;PAJARITO;CAFE;2016;32;31;29;0,9 
68;SANTANDER;68684;SAN JOSE DE MIRANDA;CAFE;2016;32;24;28;1,2 
5;ANTIOQUIA;5360;ARCABUCO;CAFE;2018;31;29;43;1,5 
15;BOYACA;15518;PAJARITO;CAFE;2017;31;31;21;0,7 
15;BOYACA;15518;PAJARITO;CAFE;2018;31;31;20;0,6 
20;CESAR;20710;SAN ALBERTO;CAFE;2016;29;24;25;1,1 
50;META;50606;RESTREPO;CAFE;2016;28;22;25;1,1 
20;CESAR;20710;SAN ALBERTO;CAFE;2017;28;25;17;0,7 
50;META;50606;RESTREPO;CAFE;2017;27;26;24;0,9 
68;SANTANDER;68385;LANDAZURI;CAFE;2017;26;26;33;1,3 
68;SANTANDER;68385;LANDAZURI;CAFE;2016;26;19;25;1,3 
50;META;50226;CUMARAL;CAFE;2017;26;21;27;1,3 
20;CESAR;20710;SAN ALBERTO;CAFE;2018;26;24;15;0,6 
50;META;50226;CUMARAL;CAFE;2016;26;21;25;1,2 
25;CUNDINAMARCA;25120;CABRERA;CAFE;2016;24;21;21;0,1 
5;ANTIOQUIA;5266;ENVIGADO;CAFE;2016;24;20;23;1,1 
25;CUNDINAMARCA;25120;CABRERA;CAFE;2017;23;21;18;0,8 
5;ANTIOQUIA;5266;ENVIGADO;CAFE;2017;23;18;27;1,5 
5;ANTIOQUIA;5142;CARACOLI;CAFE;2016;23;19;21;1,1 
25;CUNDINAMARCA;25120;CABRERA;CAFE;2018;23;23;19;0,9 
68;SANTANDER;68385;LANDAZURI;CAFE;2018;22;21;28;1,3 
5;ANTIOQUIA;5266;ENVIGADO;CAFE;2018;22;21;31;1,5 
20;CESAR;20770;SAN MARTIN;CAFE;2018;21;20;13;0,6 
5;ANTIOQUIA;5321;GUATAPE;CAFE;2017;21;11;19;1,8 
20;CESAR;20770;SAN MARTIN;CAFE;2017;21;20;13;0,7 
20;CESAR;20770;SAN MARTIN;CAFE;2016;21;16;18;1,1 
5;ANTIOQUIA;5142;CARACOLI;CAFE;2018;21;21;13;0,6 
5;ANTIOQUIA;5142;CARACOLI;CAFE;2017;21;21;14;0,7 
5;ANTIOQUIA;5321;GUATAPE;CAFE;2018;21;11;21;1,9 
50;META;50606;RESTREPO;CAFE;2018;19;18;17;0,9 
25;CUNDINAMARCA;25535;PASCA;CAFE;2017;19;16;16;0,1 
25;CUNDINAMARCA;25535;PASCA;CAFE;2016;18;17;17;0,1 
25;CUNDINAMARCA;25535;PASCA;CAFE;2018;18;15;15;0,1 
5;ANTIOQUIA;5321;GUATAPE;CAFE;2016;18;17;17;0,1 
5;ANTIOQUIA;5150;CAROLINA;CAFE;2016;18;17;17;0,1 
68;SANTANDER;68432;MALAGA;CAFE;2018;16;14;11;0,7 
68;SANTANDER;68432;MALAGA;CAFE;2017;16;13;9;0,7 
5;ANTIOQUIA;5604;REMEDIOS;CAFE;2016;15;14;14;0,1 
68;SANTANDER;68432;MALAGA;CAFE;2016;14;9;14;1,6 
68;SANTANDER;68686;SAN MIGUEL;CAFE;2017;14;14;12;0,8 
68;SANTANDER;68686;SAN MIGUEL;CAFE;2016;14;11;10;0,9 
5;ANTIOQUIA;5604;REMEDIOS;CAFE;2018;13;13;20;1,5 
5;ANTIOQUIA;5604;REMEDIOS;CAFE;2017;13;13;19;1,5 
5;ANTIOQUIA;5150;CAROLINA;CAFE;2017;13;13;12;0,9 
5;ANTIOQUIA;5150;CAROLINA;CAFE;2018;13;13;12;0,9 
68;SANTANDER;68121;CABRERA;CAFE;2016;12;11;12;1,1 
68;SANTANDER;68686;SAN MIGUEL;CAFE;2018;12;12;10;0,9 
68;SANTANDER;68121;CABRERA;CAFE;2017;12;11;14;1,3 
15;BOYACA;15667;SAN LUIS DE GACENO;CAFE;2016;12;11;5;0,5 
52;NARIÑO;52354;IMUES;CAFE;2016;11;10;10;0,1 
52;NARIÑO;52354;IMUES;CAFE;2018;11;11;12;1,1 
73;TOLIMA;73770;SUAREZ;CAFE;2016;11;11;6;0,6 
52;NARIÑO;52354;IMUES;CAFE;2017;11;11;12;1,1 
52;NARIÑO;52352;ILES;CAFE;2017;10;10;11;0,1 
52;NARIÑO;52352;ILES;CAFE;2018;10;10;11;1,1 
68;SANTANDER;68121;CABRERA;CAFE;2018;10;9;12;1,3 
73;TOLIMA;73770;SUAREZ;CAFE;2018;10;10;9;0,9 
52;NARIÑO;52352;ILES;CAFE;2016;10;10;9;0,9 
73;TOLIMA;73770;SUAREZ;CAFE;2017;10;10;9;0,9 
15;BOYACA;15667;SAN LUIS DE GACENO;CAFE;2018;9;8;7;0,8 
68;SANTANDER;68250;EL PEÑON;CAFE;2017;9;9;11;1,3 
15;BOYACA;15667;SAN LUIS DE GACENO;CAFE;2017;9;8;6;0,8 
68;SANTANDER;68250;EL PEÑON;CAFE;2016;9;7;7;0,9 
68;SANTANDER;68250;EL PEÑON;CAFE;2018;9;9;12;1,3 
68;SANTANDER;68720;SANTA HELENA DEL OPON;CAFE;2018;8;8;10;1,3 
68;SANTANDER;68720;SANTA HELENA DEL OPON;CAFE;2016;8;4;8;0,2 
20;CESAR;20550;PELAYA;CAFE;2018;8;8;5;0,6 
25;CUNDINAMARCA;25530;PARATEBUENO;CAFE;2017;8;8;7;0,8 
68;SANTANDER;68720;SANTA HELENA DEL OPON;CAFE;2017;8;8;10;1,3 
25;CUNDINAMARCA;25530;PARATEBUENO;CAFE;2016;8;7;8;1,1 
25;CUNDINAMARCA;25530;PARATEBUENO;CAFE;2018;8;8;7;0,9 
15;BOYACA;15690;SANTA MARIA;CAFE;2017;7;6;4;0,7 
54;NORTE DE SANTANDER;54125;CACOTA;CAFE;2017;7;7;10;1,4 
15;BOYACA;15690;SANTA MARIA;CAFE;2018;7;6;4;0,7 
50;META;50226;CUMARAL;CAFE;2018;7;5;6;1,3 
54;NORTE DE SANTANDER;54125;CACOTA;CAFE;2018;7;7;10;1,5 
54;NORTE DE SANTANDER;54125;CACOTA;CAFE;2016;7;7;6;0,9 
52;NARIÑO;52612;RICAURTE;CAFE;2018;5;5;3;0,6 
52;NARIÑO;52612;RICAURTE;CAFE;2017;5;5;3;0,7 
52;NARIÑO;52612;RICAURTE;CAFE;2016;5;4;5;1,1 
54;NORTE DE SANTANDER;54250;EL TARRA;CAFE;2016;4;2;3;1,2 
15;BOYACA;15690;SANTA MARIA;CAFE;2016;4;3;3;0,9 
54;NORTE DE SANTANDER;54250;EL TARRA;CAFE;2017;4;4;4;1,1 
20;CESAR;20550;PELAYA;CAFE;2017;4;4;2;0,7 
68;SANTANDER;68147;CAPITANEJO;CAFE;2018;4;4;3;0,7 
68;SANTANDER;68147;CAPITANEJO;CAFE;2017;4;3;2;0,7 
68;SANTANDER;68147;CAPITANEJO;CAFE;2016;4;3;3;0,9 
20;CESAR;20550;PELAYA;CAFE;2016;4;4;2;0,6 
54;NORTE DE SANTANDER;54250;EL TARRA;CAFE;2018;2;2;2;1,1 
50;META;50006;ACACIAS;CAFE;2018;1;0;0;0,0 
